"Search Terms","Hearings"
"Total Count","45"
"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"1","Congressional Hearings","CHRG-117shrg19104915","CHRG-117shrg19104915","NONDEPARTMENTAL WITNESSES","https://www.govinfo.gov/app/details/CHRG-117shrg19104915/CHRG-117shrg19104915","https://www.govinfo.gov/content/pkg/CHRG-117shrg19104915/pdf/CHRG-117shrg19104915.pdf","https://www.govinfo.gov/content/pkg/CHRG-117shrg19104915/html/CHRG-117shrg19104915.htm","","","",", DC. NONDEPARTMENTAL WITNESSES [Clerk's note.--The subcommittee was unable to hold hearings on nondepartmental witnesses. The statements and letters of those submitting written testimony are as follows:] Prepared Statement of the Accountability Counsel Dear Chairman Coons, Ranking Member Graham, and members of the subcommittee: On behalf of...","","2021-09-02"
"2","Congressional Hearings","CHRG-117shrg19104911","CHRG-117shrg19104911","Commerce, Justice, Science, and Related Agencies Appropriations for Fiscal Year 2020","https://www.govinfo.gov/app/details/CHRG-117shrg19104911/CHRG-117shrg19104911","https://www.govinfo.gov/content/pkg/CHRG-117shrg19104911/pdf/CHRG-117shrg19104911.pdf","https://www.govinfo.gov/content/pkg/CHRG-117shrg19104911/html/CHRG-117shrg19104911.htm","","","",", DC. NONDEPARTMENTAL WITNESSES [Clerk's Note.--The subcommittee was unable to hold hearings on nondepartmental witnesses. The statements and letters of those submitting written testimony are as follows:] Prepared Statement of the American Astronomical Society nasa and the national science foundation On behalf of the over 7,000 members of ...","","2021-07-13"
"3","Congressional Hearings","CHRG-117shrg44913","CHRG-117shrg44913","Oversight of the United States Capitol Police Following the January 6th Attack on the Capitol","https://www.govinfo.gov/app/details/CHRG-117shrg44913/CHRG-117shrg44913","https://www.govinfo.gov/content/pkg/CHRG-117shrg44913/pdf/CHRG-117shrg44913.pdf","https://www.govinfo.gov/content/pkg/CHRG-117shrg44913/html/CHRG-117shrg44913.htm","","",""," ADMINISTRATION UNITED STATES SENATE ONE HUNDRED SEVENTEENTH CONGRESS FIRST SESSION JUNE 16, 2021 Printed for the use of the Committee on Rules and Administration [GRAPHICS NOT AVAILABLE IN TIFF FORMAT] Available on http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 44-913 WASHINGTON : 2021 COMMITTEE ON RULES AND ADMINISTRATION FIRST SESSION...","","2021-06-16"
"4","Congressional Hearings","CHRG-117shrg45280","CHRG-117shrg45280","The President's Fiscal Year 2022 Budget Proposal","https://www.govinfo.gov/app/details/CHRG-117shrg45280/CHRG-117shrg45280","https://www.govinfo.gov/content/pkg/CHRG-117shrg45280/pdf/CHRG-117shrg45280.pdf","https://www.govinfo.gov/content/pkg/CHRG-117shrg45280/html/CHRG-117shrg45280.htm","","",""," CONGRESS FIRST SESSION June 8, 2021 Printed for the use of the Committee on the Budget [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] U.S. GOVERNMENT PUBLISHING OFFICE 45-280 WASHINGTON : 2021 COMMITTEE ON THE BUDGET BERNARD SANDERS, Vermont, Chairman PATTY MURRAY, Washington LINDSEY O. GRAHAM, South Carolina RON WYDEN, Oregon CHARLES E. GRASSLEY, ...","","2021-06-08"
"5","Congressional Hearings","CHRG-117shrg45041","CHRG-117shrg45041","Examining the Covid-19 Response in Native Communities: Native Languages One Year Later","https://www.govinfo.gov/app/details/CHRG-117shrg45041/CHRG-117shrg45041","https://www.govinfo.gov/content/pkg/CHRG-117shrg45041/pdf/CHRG-117shrg45041.pdf","https://www.govinfo.gov/content/pkg/CHRG-117shrg45041/html/CHRG-117shrg45041.htm","","","","UNITED STATES SENATE ONE HUNDRED SEVENTEENTH CONGRESS FIRST SESSION MAY 26, 2021 Printed for the use of the Committee on Indian Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] U.S. GOVERNMENT PUBLISHING OFFICE 45-041 PDF WASHINGTON : 2021 COMMITTEE ON INDIAN AFFAIRS BRIAN SCHATZ, Hawaii, Chairman LISA MURKOWSKI, Alaska, Vice Chairman MARIA CANTWELL,...","","2021-05-26"
"6","Congressional Hearings","CHRG-117shrg45045","CHRG-117shrg45045","Examining the Findings and Recommendations of GAO's 2021 Report on Duplication, Overlap, Fragmentation and Opportunities to Achieve Financial Benefits","https://www.govinfo.gov/app/details/CHRG-117shrg45045/CHRG-117shrg45045","https://www.govinfo.gov/content/pkg/CHRG-117shrg45045/pdf/CHRG-117shrg45045.pdf","https://www.govinfo.gov/content/pkg/CHRG-117shrg45045/html/CHRG-117shrg45045.htm","","",""," BENEFITS HEARING BEFORE THE SUBCOMMITTEE ON EMERGING THREATS AND SPENDING OVERSIGHT OF THE COMMITTEE ON HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS UNITED STATES SENATE ONE HUNDRED SEVENTEENTH CONGRESS FIRST SESSION MAY 12, 2021 Available via the World Wide Web: http://www.govinfo.gov Printed for the use of the Committee on Homeland Security...","","2021-05-12"
"7","Congressional Hearings","CHRG-117shrg45251","CHRG-117shrg45251","Waste, Fraud, Cost Overruns, and Auditing at the Pentagon","https://www.govinfo.gov/app/details/CHRG-117shrg45251/CHRG-117shrg45251","https://www.govinfo.gov/content/pkg/CHRG-117shrg45251/pdf/CHRG-117shrg45251.pdf","https://www.govinfo.gov/content/pkg/CHRG-117shrg45251/html/CHRG-117shrg45251.htm","","","","SEVENTEENTH CONGRESS FIRST SESSION May 12, 2021 Printed for the use of the Committee on the Budget [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] U.S. GOVERNMENT PUBLISHING OFFICE 45-251 WASHINGTON : 2021 COMMITTEE ON THE BUDGET BERNARD SANDERS, Vermont, Chairman PATTY MURRAY, Washington LINDSEY O. GRAHAM, South Carolina RON WYDEN, Oregon CHARLES E. ...","","2021-05-12"
"8","Congressional Hearings","CHRG-117shrg45020","CHRG-117shrg45020","Equity in Transportation Infrastructure: Connecting Communities, Removing Barriers, and Repairing Networks Across America","https://www.govinfo.gov/app/details/CHRG-117shrg45020/CHRG-117shrg45020","https://www.govinfo.gov/content/pkg/CHRG-117shrg45020/pdf/CHRG-117shrg45020.pdf","https://www.govinfo.gov/content/pkg/CHRG-117shrg45020/html/CHRG-117shrg45020.htm","","",""," the SUBCOMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE of the COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SEVENTEENTH CONGRESS FIRST SESSION MAY 11, 2021 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://...","","2021-05-11"
"9","Congressional Hearings","CHRG-117shrg45187","CHRG-117shrg45187","Hearing on the Fiscal Year 2022 Proposed Budget for the U.S. Environmental Protection Agency","https://www.govinfo.gov/app/details/CHRG-117shrg45187/CHRG-117shrg45187","https://www.govinfo.gov/content/pkg/CHRG-117shrg45187/pdf/CHRG-117shrg45187.pdf","https://www.govinfo.gov/content/pkg/CHRG-117shrg45187/html/CHRG-117shrg45187.htm","","",""," AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SEVENTEENTH CONGRESS FIRST SESSION APRIL 28, 2021 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 45-187 PDF WASHINGTON : 2021 COMMITTEE ON ...","","2021-04-28"
"10","Congressional Hearings","CHRG-117shrg44775","CHRG-117shrg44775","Legislative Hearing on S. 283, National Climate Bank Act","https://www.govinfo.gov/app/details/CHRG-117shrg44775/CHRG-117shrg44775","https://www.govinfo.gov/content/pkg/CHRG-117shrg44775/pdf/CHRG-117shrg44775.pdf","https://www.govinfo.gov/content/pkg/CHRG-117shrg44775/html/CHRG-117shrg44775.htm","","","","THE COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SEVENTEENTH CONGRESS FIRST SESSION APRIL 27, 2021 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 44-775 PDF WASHINGTON ...","","2021-04-27"
