,Date,Time,URL,Title,Location,Committee,Date Scraped,witnesses,transcripts,witness_transcripts,video_url,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1
10,02/1/2022,,https://www.commerce.senate.gov/2022/2/commerce-committee-announces-subcommittee-hearing-on-february-1-2022,Stopping COVID-19 Fraud and Price Gouging,,Commerce,2022-04-26,"['Samuel Levine', 'Teresa Murray', 'Mary Engle', 'Todd Leatherman']","['https://www.commerce.senate.gov/services/files/CB72D3CC-9461-4899-BE93-264EDAD59FC7', 'https://www.commerce.senate.gov/services/files/2F52A32E-AAC7-4822-8ED7-EE50A43A790B', 'https://www.commerce.senate.gov/services/files/02BA7CC6-29A1-4D1B-92D4-9A8C104B3154', 'https://www.commerce.senate.gov/services/files/96EE2F59-C5C3-4A11-A91E-5371E7265909']","[('Samuel Levine', 'https://www.commerce.senate.gov/services/files/CB72D3CC-9461-4899-BE93-264EDAD59FC7'), ('Teresa Murray', 'https://www.commerce.senate.gov/services/files/2F52A32E-AAC7-4822-8ED7-EE50A43A790B'), ('Mary Engle', 'https://www.commerce.senate.gov/services/files/02BA7CC6-29A1-4D1B-92D4-9A8C104B3154'), ('Todd Leatherman', 'https://www.commerce.senate.gov/services/files/96EE2F59-C5C3-4A11-A91E-5371E7265909')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce020122&auto_play=false&wmode=opaque,,,,,,,,
9,11/20/2003,,https://www.commerce.senate.gov/2003/11/prescription-drug-importation,Prescription Drug Importation,,Commerce,2022-03-22,"['Rick Santorum', 'Debbie Stabenow', 'John McCain', 'Gil Gutknecht', 'Bernie Sanders', 'John M. Taylor', 'Tim Pawlenty', 'Donald MacArthur', 'Carmen A. Catizone', 'Lewis Lubka', 'David Funderburk']","['', '', '', '', '', '', '', '', '', '', '']","[('Rick Santorum', ''), ('Debbie Stabenow', ''), ('John McCain', ''), ('Gil Gutknecht', ''), ('Bernie Sanders', ''), ('John M. Taylor', ''), ('Tim Pawlenty', ''), ('Donald MacArthur', ''), ('Carmen A. Catizone', ''), ('Lewis Lubka', ''), ('David Funderburk', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce112003&auto_play=false&wmode=opaque,9.0,9.0,9.0,9.0,8.0,8.0,0.0,0.0
10,11/13/2003,,https://www.commerce.senate.gov/2003/11/cable-rates-**cancelled,Cable Rates **CANCELLED**,,Commerce,2022-03-22,"['Mark Goldstein', 'Robert Sachs', 'James O. Robbins', 'Rodger Johnson', 'George Bodenheimer']","['', '', '', '', '']","[('Mark Goldstein', ''), ('Robert Sachs', ''), ('James O. Robbins', ''), ('Rodger Johnson', ''), ('George Bodenheimer', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111303&auto_play=false&wmode=opaque,10.0,10.0,10.0,10.0,9.0,9.0,1.0,1.0
11,11/12/2003,,https://www.commerce.senate.gov/2003/11/tobacco-states-use-of-settlement-funds,Tobacco:  States’ Use of Settlement Funds,,Commerce,2022-03-22,"['Mike Moore', 'Raymond C. Scheppach', 'Cheryl Healton', 'Matthew Myers', 'Deborah Hudson']","['', '', '', '', '']","[('Mike Moore', ''), ('Raymond C. Scheppach', ''), ('Cheryl Healton', ''), ('Matthew Myers', ''), ('Deborah Hudson', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111203&auto_play=false&wmode=opaque,11.0,11.0,11.0,11.0,10.0,10.0,2.0,2.0
12,11/6/2003,,https://www.commerce.senate.gov/2003/11/lunar-exploration,Lunar Exploration,,Commerce,2022-03-22,"['Paul D. Spudis', 'Harrison H. Schmitt', 'David R. Criswell', 'J. Roger P. Angel']","['', '', '', '']","[('Paul D. Spudis', ''), ('Harrison H. Schmitt', ''), ('David R. Criswell', ''), ('J. Roger P. Angel', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce110603p&auto_play=false&wmode=opaque,12.0,12.0,12.0,12.0,11.0,11.0,3.0,3.0
13,11/6/2003,,https://www.commerce.senate.gov/2003/11/nominations,Nominations,,Commerce,2022-03-22,"['Jeffrey L. Rosen', 'Cheryl Feldman Halpern', 'Kirk Van Tine', 'Michael Gallagher', 'Elizabeth Courtney']","['', '', '', '', '']","[('Jeffrey L. Rosen', ''), ('Cheryl Feldman Halpern', ''), ('Kirk Van Tine', ''), ('Michael Gallagher', ''), ('Elizabeth Courtney', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce110403&auto_play=false&wmode=opaque,13.0,13.0,13.0,13.0,12.0,12.0,4.0,4.0
14,11/5/2003,,https://www.commerce.senate.gov/2003/11/aviation-security,Aviation Security,,Commerce,2022-03-22,"['Penrose A. Albright', 'William Parrish', 'Stephen McHale']","['', '', '']","[('Penrose A. Albright', ''), ('William Parrish', ''), ('Stephen McHale', '')]",,14.0,14.0,14.0,14.0,13.0,13.0,5.0,5.0
15,10/30/2003,,https://www.commerce.senate.gov/2003/10/universal-service,Universal Service,,Commerce,2022-03-22,['Michael K. Powell'],[''],"[('Michael K. Powell', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce103003&auto_play=false&wmode=opaque,15.0,15.0,15.0,15.0,14.0,14.0,7.0,7.0
16,10/29/2003,,https://www.commerce.senate.gov/2003/10/international-space-station,International Space Station,,Commerce,2022-03-22,"['Allen Li', 'Arthur I. Zygielbaum', 'Robert L. Park', 'James Pawelczyk', 'William F. Readdy']","['', '', '', '', '']","[('Allen Li', ''), ('Arthur I. Zygielbaum', ''), ('Robert L. Park', ''), ('James Pawelczyk', ''), ('William F. Readdy', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce102903p&auto_play=false&wmode=opaque,16.0,16.0,16.0,16.0,15.0,15.0,8.0,8.0
17,10/29/2003,,https://www.commerce.senate.gov/2003/10/future-of-nasa,Future of NASA,,Commerce,2022-03-22,"['Admiral Harold Gehman', ""Sean O'Keefe"", 'Richard Tumlinson', 'David Woods', 'Robert Zubrin', 'Wesley Huntress']","['', '', '', '', '', '']","[('Admiral Harold Gehman', ''), (""Sean O'Keefe"", ''), ('Richard Tumlinson', ''), ('David Woods', ''), ('Robert Zubrin', ''), ('Wesley Huntress', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce102903&auto_play=false&wmode=opaque,17.0,17.0,17.0,17.0,16.0,16.0,9.0,9.0
18,10/28/2003,,https://www.commerce.senate.gov/2003/10/dietary-supplements,Dietary Supplements,,Commerce,2022-03-22,"['John McCain', 'John M. Taylor', 'Greg Davis', 'Charles Bell', 'David Seckman', 'Terry Madden', 'Arthur Grollman']","['', '', '', '', '', '', '']","[('John McCain', ''), ('John M. Taylor', ''), ('Greg Davis', ''), ('Charles Bell', ''), ('David Seckman', ''), ('Terry Madden', ''), ('Arthur Grollman', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce102803&auto_play=false&wmode=opaque,18.0,18.0,18.0,18.0,17.0,17.0,10.0,10.0
19,10/23/2003,,https://www.commerce.senate.gov/2003/10/railroad-shipper-issues-and-s-919-the-railroad-competition-act-of-2003,"Railroad Shipper Issues and S. 919, the Railroad Competition Act of 2003",,Commerce,2022-03-22,"['Randall Linville', 'Roger Nober', 'Terry C. Whiteside', 'Charles E. Platz']","['', '', '', '']","[('Randall Linville', ''), ('Roger Nober', ''), ('Terry C. Whiteside', ''), ('Charles E. Platz', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce102303&auto_play=false&wmode=opaque,19.0,19.0,19.0,19.0,18.0,18.0,11.0,11.0
20,10/22/2003,,https://www.commerce.senate.gov/2003/10/federal-involvement-in-regulation-of-the-insurance-industry,Federal Involvement in Regulation of The Insurance Industry,,Commerce,2022-03-22,"['Fritz Hollings', 'John McCain', 'Ernst Csiszar', 'Craig Berrington', 'J. Robert Hunter', 'Tom Ahart', 'Stephen E. Rahn', 'Douglas Heller']","['', '', '', '', '', '', '', '']","[('Fritz Hollings', ''), ('John McCain', ''), ('Ernst Csiszar', ''), ('Craig Berrington', ''), ('J. Robert Hunter', ''), ('Tom Ahart', ''), ('Stephen E. Rahn', ''), ('Douglas Heller', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce102203&auto_play=false&wmode=opaque,20.0,20.0,20.0,20.0,19.0,19.0,12.0,12.0
21,10/22/2003,,https://www.commerce.senate.gov/2003/10/implementation-of-national-standards-in-fisheries-management,Implementation of National Standards in Fisheries Management,,Commerce,2022-03-22,['William Hogarth'],[''],"[('William Hogarth', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce102203&auto_play=false&wmode=opaque,21.0,21.0,21.0,21.0,20.0,20.0,13.0,13.0
22,10/9/2003,,https://www.commerce.senate.gov/2003/10/pipeline-safety-and-the-impact-of-the-kinder-morgan-pipeline-accident-on-public-safety-fuel-supply-and-consumer-cost,"Pipeline Safety and the Impact of the Kinder Morgan Pipeline Accident on Public Safety, Fuel Supply, and Consumer Cost",,Commerce,2022-03-22,"['John McCain', 'Janet Napolitano', 'Raul Grijalva', 'Bob Walkup', 'Mark Spitzer', 'Samuel Bonasso', 'Terry Goddard', 'David Cowley', 'Thomas Bannigan', 'Jonathan Olcott']","['', '', '', '', '', '', '', '', '', '']","[('John McCain', ''), ('Janet Napolitano', ''), ('Raul Grijalva', ''), ('Bob Walkup', ''), ('Mark Spitzer', ''), ('Samuel Bonasso', ''), ('Terry Goddard', ''), ('David Cowley', ''), ('Thomas Bannigan', ''), ('Jonathan Olcott', '')]",,22.0,22.0,22.0,22.0,21.0,21.0,14.0,14.0
23,10/2/2003,,https://www.commerce.senate.gov/2003/10/amtrak,Amtrak,,Commerce,2022-03-22,"['Allan Rutter', 'Kenneth Mead', 'David Gunn', 'Claudia Howells']","['', '', '', '']","[('Allan Rutter', ''), ('Kenneth Mead', ''), ('David Gunn', ''), ('Claudia Howells', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce100203p&auto_play=false&wmode=opaque,23.0,23.0,23.0,23.0,22.0,22.0,15.0,15.0
24,10/2/2003,,https://www.commerce.senate.gov/2003/10/media-ownership,Media Ownership,,Commerce,2022-03-22,"['Victor B. Miller IV', 'Eli M. Noam', 'Victor B. Miller IV', 'Philip Napoli', 'Mark N. Cooper']","['', '', '', '', '']","[('Victor B. Miller IV', ''), ('Eli M. Noam', ''), ('Victor B. Miller IV', ''), ('Philip Napoli', ''), ('Mark N. Cooper', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce100203&auto_play=false&wmode=opaque,24.0,24.0,24.0,24.0,23.0,23.0,16.0,16.0
25,10/1/2003,,https://www.commerce.senate.gov/2003/10/hearing-on-the-case-for-climate-change-action,Hearing on The Case for Climate Change Action,,Commerce,2022-03-22,"['Jos Delbeke', 'Tom M.L. Wigley', 'Antonio Busalacchi', 'Ethan J. Podell', 'Stephen Schneider', 'John B. Stephenson', 'Christopher Walker .', 'Paul Gorman']","['', '', '', '', '', '', '', '']","[('Jos Delbeke', ''), ('Tom M.L. Wigley', ''), ('Antonio Busalacchi', ''), ('Ethan J. Podell', ''), ('Stephen Schneider', ''), ('John B. Stephenson', ''), ('Christopher Walker .', ''), ('Paul Gorman', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce100103&auto_play=false&wmode=opaque,25.0,25.0,25.0,25.0,24.0,24.0,17.0,17.0
26,09/30/2003,,https://www.commerce.senate.gov/2003/9/obesity-war-are-our-dietary-guidelines-losing,Obesity War: Are Our Dietary Guidelines Losing,,Commerce,2022-03-22,[],[],[],https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce093003p&auto_play=false&wmode=opaque,26.0,26.0,26.0,26.0,25.0,25.0,18.0,18.0
27,09/30/2003,,https://www.commerce.senate.gov/2003/9/do-not-call-registry,Do-Not-Call Registry,,Commerce,2022-03-22,"['Timothy Muris', 'Michael K. Powell', 'Jerry Cerasale', 'Dean Rodney Smolla', 'Tim Searcy', 'James Guest', 'Lee Hammond']","['', '', '', '', '', '', '']","[('Timothy Muris', ''), ('Michael K. Powell', ''), ('Jerry Cerasale', ''), ('Dean Rodney Smolla', ''), ('Tim Searcy', ''), ('James Guest', ''), ('Lee Hammond', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce093003&auto_play=false&wmode=opaque,27.0,27.0,27.0,27.0,26.0,26.0,19.0,19.0
28,09/25/2003,,https://www.commerce.senate.gov/2003/9/scientific-and-medical-advances-in-the-field-of-in-utero-surgery,Scientific and Medical Advances in the Field of In Utero Surgery,,Commerce,2022-03-22,"['Michael Clancy', 'Alex Armas', 'James Thorp', 'Julie Armas']","['', '', '', '']","[('Michael Clancy', ''), ('Alex Armas', ''), ('James Thorp', ''), ('Julie Armas', '')]",,28.0,28.0,28.0,28.0,27.0,27.0,20.0,20.0
29,09/18/2003,,https://www.commerce.senate.gov/2003/9/railroad-shipper-issues-and-s-919-the-railroad-competition-act-of-2003-**postponed,"Railroad Shipper Issues and S. 919, the Railroad Competition Act of 2003 -- **Postponed**",,Commerce,2022-03-22,"['Roger Nober', 'Terry C. Whiteside', 'Charles E. Platz', 'Randall Linville']","['', '', '', '']","[('Roger Nober', ''), ('Terry C. Whiteside', ''), ('Charles E. Platz', ''), ('Randall Linville', '')]",,29.0,29.0,29.0,29.0,28.0,28.0,21.0,21.0
