,Date,Time,URL,Title,Location,Committee,Date Scraped,witnesses,transcripts,witness_transcripts,video_url,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1
191,03/3/2004,,https://www.commerce.senate.gov/2004/3/impact-of-abortion-on-women,Impact of Abortion on Women,,Commerce,2022-03-22,"['Reverend Roselyn Smith-Withers', 'Georgette Forney', 'Michaelene Jenkins', 'Nada L. Stotland', 'Elizabeth Shadigian']","['', '', '', '', '']","[('Reverend Roselyn Smith-Withers', ''), ('Georgette Forney', ''), ('Michaelene Jenkins', ''), ('Nada L. Stotland', ''), ('Elizabeth Shadigian', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce030304p&auto_play=false&wmode=opaque,191.0,191.0,191.0,191.0,190.0,190.0,187.0,76.0
192,03/3/2004,,https://www.commerce.senate.gov/2004/3/climate-change,Climate Change,,Commerce,2022-03-22,"['Joseph Lieberman', 'Jerry Mahlman', 'Robert Corell', 'Lee Hannah', 'Marvin Geller', 'Lara J. Hansen']","['', '', '', '', '', '']","[('Joseph Lieberman', ''), ('Jerry Mahlman', ''), ('Robert Corell', ''), ('Lee Hannah', ''), ('Marvin Geller', ''), ('Lara J. Hansen', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce030304&auto_play=false&wmode=opaque,192.0,192.0,192.0,192.0,191.0,191.0,188.0,77.0
193,03/2/2004,,https://www.commerce.senate.gov/2004/3/the-rise-of-obesity-in-children,The Rise of Obesity in Children,,Commerce,2022-03-22,"['Richard Carmona', 'William Dietz', 'Robert Liodice', 'Margo Wootan', 'Manly Molpus', 'Lee Culpepper', 'Victoria Rideout']","['', '', '', '', '', '', '']","[('Richard Carmona', ''), ('William Dietz', ''), ('Robert Liodice', ''), ('Margo Wootan', ''), ('Manly Molpus', ''), ('Lee Culpepper', ''), ('Victoria Rideout', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce030204&auto_play=false&wmode=opaque,193.0,193.0,193.0,193.0,192.0,192.0,189.0,78.0
194,02/25/2004,,https://www.commerce.senate.gov/2004/2/seafood-processor-quotas-hearing,Seafood Processor Quotas Hearing,,Commerce,2022-03-22,"['J. Bruce McDonald', 'Anu Mittal', 'Scott C. Matulich', 'Robert Halvorsen', 'Richard Powell', 'Richard Young', 'Joseph T. Plesha']","['', '', '', '', '', '', '']","[('J. Bruce McDonald', ''), ('Anu Mittal', ''), ('Scott C. Matulich', ''), ('Robert Halvorsen', ''), ('Richard Powell', ''), ('Richard Young', ''), ('Joseph T. Plesha', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce022504&auto_play=false&wmode=opaque,194.0,194.0,194.0,194.0,193.0,193.0,190.0,79.0
195,02/24/2004,,https://www.commerce.senate.gov/2004/2/voice-over-internet-protocol-(voip-hearing,Voice Over Internet Protocol (VOIP) Hearing,,Commerce,2022-03-22,"['Lamar Alexander', 'Michael K. Powell', 'Glenn A. Britt', 'Glen F. Post III', 'Jeffrey Citron', 'Stan Wise', 'Kevin Werbach']","['', '', '', '', '', '', '']","[('Lamar Alexander', ''), ('Michael K. Powell', ''), ('Glenn A. Britt', ''), ('Glen F. Post III', ''), ('Jeffrey Citron', ''), ('Stan Wise', ''), ('Kevin Werbach', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce022404&auto_play=false&wmode=opaque,195.0,195.0,195.0,195.0,194.0,194.0,191.0,80.0
196,02/18/2004,,https://www.commerce.senate.gov/2004/2/field-hearing-president’s-new-space-vision,Field Hearing - President’s New Space Vision,,Commerce,2022-03-22,"['John Cornyn', 'Tom DeLay', 'William F. Readdy', 'Charles M. Chafer', 'Courtney Stadd', 'W.F. “Mitch” Mitchell', 'Robert Lorsch']","['', '', '', '', '', '', '']","[('John Cornyn', ''), ('Tom DeLay', ''), ('William F. Readdy', ''), ('Charles M. Chafer', ''), ('Courtney Stadd', ''), ('W.F. “Mitch” Mitchell', ''), ('Robert Lorsch', '')]",,196.0,196.0,196.0,196.0,195.0,195.0,192.0,81.0
197,02/11/2004,,https://www.commerce.senate.gov/2004/2/protecting-children-from-violent-and-indecent-programming,Protecting Children from Violent and Indecent Programming,,Commerce,2022-03-22,"['Lindsey Graham', 'Michael K. Powell', 'Kevin J. Martin']","['', '', '']","[('Lindsey Graham', ''), ('Michael K. Powell', ''), ('Kevin J. Martin', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce021104&auto_play=false&wmode=opaque,197.0,197.0,197.0,197.0,196.0,196.0,193.0,82.0
198,02/5/2004,,https://www.commerce.senate.gov/2004/2/climate-change-**postponed,Climate Change  **POSTPONED**,,Commerce,2022-03-22,"['Lee Hannah', 'Robert Corell', 'Jerry Mahlman', 'Marvin Geller']","['', '', '', '']","[('Lee Hannah', ''), ('Robert Corell', ''), ('Jerry Mahlman', ''), ('Marvin Geller', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce020504&auto_play=false&wmode=opaque,198.0,198.0,198.0,198.0,197.0,197.0,194.0,83.0
199,02/4/2004,,https://www.commerce.senate.gov/2004/2/mars-exploration-**postponed,Mars Exploration **POSTPONED**,,Commerce,2022-03-22,['Edward J. Weiler'],[''],"[('Edward J. Weiler', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce020404&auto_play=false&wmode=opaque,199.0,199.0,199.0,199.0,198.0,198.0,195.0,84.0
200,01/28/2004,,https://www.commerce.senate.gov/2004/1/national-aeronautics-and-space-administration’s-(nasa-future-space-mission,National Aeronautics and Space Administration’s (NASA) Future Space Mission,,Commerce,2022-03-22,"[""Sean O'Keefe"", 'Neal Lane Ph. D.', 'Howard McCurdy', 'Richard Tumlinson', 'Louis Friedman']","['', '', '', '', '']","[(""Sean O'Keefe"", ''), ('Neal Lane Ph. D.', ''), ('Howard McCurdy', ''), ('Richard Tumlinson', ''), ('Louis Friedman', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce012804&auto_play=false&wmode=opaque,200.0,200.0,200.0,200.0,199.0,199.0,196.0,85.0
201,12/15/2005,,https://www.commerce.senate.gov/2005/12/full-committee-markup,Full Committee Markup,,Commerce,2022-03-22,[],[],[],https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce121505&auto_play=false&wmode=opaque,201.0,201.0,201.0,201.0,200.0,200.0,197.0,0.0
202,12/15/2005,,https://www.commerce.senate.gov/2005/12/nasa-authorization-conference,NASA Authorization Conference,,Commerce,2022-03-22,[],[],[],,202.0,202.0,202.0,202.0,201.0,201.0,198.0,1.0
203,12/13/2005,,https://www.commerce.senate.gov/2005/12/nominations-hearing,Nominations Hearing,,Commerce,2022-03-22,"['Lamar Alexander', 'Deborah Taylor Tate']","['https://www.commerce.senate.gov/services/files/FD11A209-18A4-4693-9934-29E3CC280B8B', 'https://www.commerce.senate.gov/services/files/CEA73D3A-22B4-4FE4-8950-0019DD89637F']","[('Lamar Alexander', 'https://www.commerce.senate.gov/services/files/FD11A209-18A4-4693-9934-29E3CC280B8B'), ('Deborah Taylor Tate', 'https://www.commerce.senate.gov/services/files/CEA73D3A-22B4-4FE4-8950-0019DD89637F')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce121305&auto_play=false&wmode=opaque,203.0,203.0,203.0,203.0,202.0,202.0,199.0,2.0
204,12/12/2005,,https://www.commerce.senate.gov/2005/12/tsa's-new-commercial-aviation-passenger-screening-procedures,TSA's New Commercial Aviation Passenger Screening Procedures,,Commerce,2022-03-22,"['Ted Stevens', 'Edmund Hawley', 'Patricia Friend']","['', 'https://www.commerce.senate.gov/services/files/A4CB9E31-50EB-4F76-BEC8-9520B05F5865', 'https://www.commerce.senate.gov/services/files/43271BEB-073A-4920-9788-F448B5557E74']","[('Ted Stevens', ''), ('Edmund Hawley', 'https://www.commerce.senate.gov/services/files/A4CB9E31-50EB-4F76-BEC8-9520B05F5865'), ('Patricia Friend', 'https://www.commerce.senate.gov/services/files/43271BEB-073A-4920-9788-F448B5557E74')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce121205p&auto_play=false&wmode=opaque,204.0,204.0,204.0,204.0,203.0,203.0,200.0,3.0
205,12/12/2005,,https://www.commerce.senate.gov/2005/12/decency-forum-follow-up-meeting,Decency Forum Follow-up Meeting,,Commerce,2022-03-22,[],[],[],https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce121205&auto_play=false&wmode=opaque,205.0,205.0,205.0,205.0,204.0,204.0,201.0,4.0
206,11/29/2005,,https://www.commerce.senate.gov/2005/11/open-forum-on-decency,Open Forum on Decency,,Commerce,2022-03-22,[],[],[],https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce112905&auto_play=false&wmode=opaque,206.0,206.0,206.0,206.0,205.0,205.0,202.0,5.0
207,11/18/2005,,https://www.commerce.senate.gov/2005/11/future-of-science,Future of Science,,Commerce,2022-03-22,"['Ted Stevens', 'Eric Cornell', 'James Heath', 'Peter Agre', 'Professor Samuel C.C. Ting']","['', 'https://www.commerce.senate.gov/services/files/97141553-212E-47A0-A09A-9A96CAAFEB76', 'https://www.commerce.senate.gov/services/files/08690462-57A1-424E-8694-402978AC24D2', 'https://www.commerce.senate.gov/services/files/8BB6C82C-E654-4C32-A038-FE2056AC5E92', 'https://www.commerce.senate.gov/services/files/D4B81AA3-5B90-4602-BD89-DB2972FF7CE9']","[('Ted Stevens', ''), ('Eric Cornell', 'https://www.commerce.senate.gov/services/files/97141553-212E-47A0-A09A-9A96CAAFEB76'), ('James Heath', 'https://www.commerce.senate.gov/services/files/08690462-57A1-424E-8694-402978AC24D2'), ('Peter Agre', 'https://www.commerce.senate.gov/services/files/8BB6C82C-E654-4C32-A038-FE2056AC5E92'), ('Professor Samuel C.C. Ting', 'https://www.commerce.senate.gov/services/files/D4B81AA3-5B90-4602-BD89-DB2972FF7CE9')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111805&auto_play=false&wmode=opaque,207.0,207.0,207.0,207.0,206.0,206.0,203.0,6.0
208,11/17/2005,,https://www.commerce.senate.gov/2005/11/full-committee-markup,Full Committee Markup,,Commerce,2022-03-22,[],[],[],https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111705p&auto_play=false&wmode=opaque,208.0,208.0,208.0,208.0,207.0,207.0,204.0,7.0
209,11/17/2005,,https://www.commerce.senate.gov/2005/11/aviation-safety,Aviation Safety,,Commerce,2022-03-22,"['Kenneth Mead', 'John Carr', 'Basil Barimo', 'Christian Klein']","['https://www.commerce.senate.gov/services/files/2A5C081D-76E9-4A48-957F-FB101657314C', 'https://www.commerce.senate.gov/services/files/849F1F16-A9C1-4C54-9B28-1506EB5F49C8', 'https://www.commerce.senate.gov/services/files/D7D1050D-EF15-4B45-A895-1BB898A5F9FD', 'https://www.commerce.senate.gov/services/files/4B6EFB5F-839D-4AE3-A7E4-D17FCF389FDB']","[('Kenneth Mead', 'https://www.commerce.senate.gov/services/files/2A5C081D-76E9-4A48-957F-FB101657314C'), ('John Carr', 'https://www.commerce.senate.gov/services/files/849F1F16-A9C1-4C54-9B28-1506EB5F49C8'), ('Basil Barimo', 'https://www.commerce.senate.gov/services/files/D7D1050D-EF15-4B45-A895-1BB898A5F9FD'), ('Christian Klein', 'https://www.commerce.senate.gov/services/files/4B6EFB5F-839D-4AE3-A7E4-D17FCF389FDB')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111705&auto_play=false&wmode=opaque,209.0,209.0,209.0,209.0,208.0,208.0,205.0,8.0
210,11/16/2005,,https://www.commerce.senate.gov/2005/11/flooded-and-salvage-vehicle-fraud,Flooded and Salvage Vehicle Fraud,,Commerce,2022-03-22,"['Robert Bryant', 'William Brauch', 'Rosemary Shahan', 'Donald L. Hall', 'Karen Chappell', 'Alan Fuglestad']","['', '', '', '', '', '']","[('Robert Bryant', ''), ('William Brauch', ''), ('Rosemary Shahan', ''), ('Donald L. Hall', ''), ('Karen Chappell', ''), ('Alan Fuglestad', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111605p&auto_play=false&wmode=opaque,210.0,210.0,210.0,210.0,209.0,209.0,206.0,9.0
211,11/16/2005,,https://www.commerce.senate.gov/2005/11/magnuson-stevens-reauthorization,Magnuson-Stevens Reauthorization,,Commerce,2022-03-22,"['U.S. Ted Stevens', 'George LaPointe', 'Admiral (Ret.) James Watkins', 'James Connaughton', 'Jack Dunnigan']","['', '', '', '', '']","[('U.S. Ted Stevens', ''), ('George LaPointe', ''), ('Admiral (Ret.) James Watkins', ''), ('James Connaughton', ''), ('Jack Dunnigan', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111605&auto_play=false&wmode=opaque,211.0,211.0,211.0,211.0,210.0,210.0,207.0,10.0
212,11/15/2005,,https://www.commerce.senate.gov/2005/11/public-policy-options-for-encouraging-alternative-automotive-fuel-technologies,Public Policy Options for Encouraging Alternative Automotive Fuel Technologies,,Commerce,2022-03-22,"['Jeffrey N. Shane', 'David Friedman', 'Fred Webber', 'Jason Grumet', 'Steven Plotkin']","['', '', 'https://www.commerce.senate.gov/services/files/4416056B-D1FC-4043-9B9C-DFFDB44E568E', '', '']","[('Jeffrey N. Shane', ''), ('David Friedman', ''), ('Fred Webber', 'https://www.commerce.senate.gov/services/files/4416056B-D1FC-4043-9B9C-DFFDB44E568E'), ('Jason Grumet', ''), ('Steven Plotkin', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111505&auto_play=false&wmode=opaque,212.0,212.0,212.0,212.0,211.0,211.0,208.0,11.0
213,11/14/2005,,https://www.commerce.senate.gov/2005/11/nominees-to-the-federal-trade-commission,Nominees to the Federal Trade Commission,,Commerce,2022-03-22,"['U.S. Ted Stevens', 'J. Thomas Rosch', 'William E. Kovacic']","['', '', '']","[('U.S. Ted Stevens', ''), ('J. Thomas Rosch', ''), ('William E. Kovacic', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111405p&auto_play=false&wmode=opaque,213.0,213.0,213.0,213.0,212.0,212.0,209.0,12.0
214,11/14/2005,,https://www.commerce.senate.gov/2005/11/legislation-to-implement-the-polar-bear-treaty,Legislation to Implement the Polar Bear Treaty,,Commerce,2022-03-22,"['U.S. Ted Stevens', 'Charlie Johnson', 'Marshall Jones']","['', '', '']","[('U.S. Ted Stevens', ''), ('Charlie Johnson', ''), ('Marshall Jones', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111405&auto_play=false&wmode=opaque,214.0,214.0,214.0,214.0,213.0,213.0,210.0,13.0
215,11/10/2005,,https://www.commerce.senate.gov/2005/11/weather-modification,Weather Modification,,Commerce,2022-03-22,"['Tom DeFelice', 'Joe Golden', 'Michael Garstang']","['', '', '']","[('Tom DeFelice', ''), ('Joe Golden', ''), ('Michael Garstang', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111005p&auto_play=false&wmode=opaque,215.0,215.0,215.0,215.0,214.0,214.0,211.0,14.0
216,11/10/2005,,https://www.commerce.senate.gov/2005/11/wright-amendment,Wright Amendment,,Commerce,2022-03-22,"['Kay Granger', 'James M. Inhofe', 'Jeb Hensarling', 'Eddie Bernice Johnson', 'Kit Bond', 'Herb Kelleher', 'Gerard Arpey', 'Kevin Cox', 'Bill Swelbar', 'Sam Coats', 'Brian Campbell', 'Lori Palmer']","['', '', '', '', '', '', '', '', '', '', '', '']","[('Kay Granger', ''), ('James M. Inhofe', ''), ('Jeb Hensarling', ''), ('Eddie Bernice Johnson', ''), ('Kit Bond', ''), ('Herb Kelleher', ''), ('Gerard Arpey', ''), ('Kevin Cox', ''), ('Bill Swelbar', ''), ('Sam Coats', ''), ('Brian Campbell', ''), ('Lori Palmer', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce111005&auto_play=false&wmode=opaque,216.0,216.0,216.0,216.0,215.0,215.0,212.0,15.0
217,11/9/2005,,https://www.commerce.senate.gov/2005/11/energy-pricing-profits,Energy Pricing & Profits,,Commerce,2022-03-22,"['Ted Stevens', 'James Mulva', 'Lee Raymond', 'Ross Pillari', ""David O'Reilly"", 'John Hofmeister', 'Peter C. Harvey', 'Henry McMaster', 'Deborah Platt Majoras', 'Terry Goddard']","['', '', '', '', '', '', '', '', '', '']","[('Ted Stevens', ''), ('James Mulva', ''), ('Lee Raymond', ''), ('Ross Pillari', ''), (""David O'Reilly"", ''), ('John Hofmeister', ''), ('Peter C. Harvey', ''), ('Henry McMaster', ''), ('Deborah Platt Majoras', ''), ('Terry Goddard', '')]",,217.0,217.0,217.0,217.0,216.0,216.0,213.0,16.0
218,11/7/2005,,https://www.commerce.senate.gov/2005/11/revitalizing-the-economy-of-south-louisiana-empowering-the-region-for-recovery-and-growth,Revitalizing the Economy of South Louisiana: Empowering the Region for Recovery and Growth,,Commerce,2022-03-22,"['Norman Francis', 'John Kennedy', 'Alden McDonald', 'Michael Olivier', 'Gary LaGrange', 'Ted Falgout', 'Ewell Smith', 'Mark Drennen', 'Elaine Coleman', 'David Guidry', 'Steve Perry']","['', '', '', '', '', '', '', '', '', '', '']","[('Norman Francis', ''), ('John Kennedy', ''), ('Alden McDonald', ''), ('Michael Olivier', ''), ('Gary LaGrange', ''), ('Ted Falgout', ''), ('Ewell Smith', ''), ('Mark Drennen', ''), ('Elaine Coleman', ''), ('David Guidry', ''), ('Steve Perry', '')]",,218.0,218.0,218.0,218.0,217.0,217.0,214.0,17.0
219,11/2/2005,,https://www.commerce.senate.gov/2005/11/full-committee-mark-up,Full Committee Mark-up,,Commerce,2022-03-22,[],[],[],https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce110205&auto_play=false&wmode=opaque,219.0,219.0,219.0,219.0,218.0,218.0,215.0,18.0
220,11/1/2005,,https://www.commerce.senate.gov/2005/11/nominations-hearing,Nominations Hearing,,Commerce,2022-03-22,"['Ted Stevens', 'George Allen', 'Paul Sarbanes', 'Kathryn Higgins', 'Shana Dale']","['', '', '', '', '']","[('Ted Stevens', ''), ('George Allen', ''), ('Paul Sarbanes', ''), ('Kathryn Higgins', ''), ('Shana Dale', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce110105&auto_play=false&wmode=opaque,220.0,220.0,220.0,220.0,219.0,219.0,216.0,19.0
221,10/20/2005,,https://www.commerce.senate.gov/2005/10/full-committee-mark-up,Full Committee Mark-up,,Commerce,2022-03-22,[],[],[],https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce102005p&auto_play=false&wmode=opaque,221.0,221.0,221.0,221.0,220.0,220.0,217.0,20.0
222,10/20/2005,,https://www.commerce.senate.gov/2005/10/domestic-passenger-and-freight-rail-security,Domestic Passenger and Freight Rail Security,,Commerce,2022-03-22,"['Ted Stevens', 'Joseph H. Boardman', 'Edward Wytkind', 'William Crosbie']","['', '', '', '']","[('Ted Stevens', ''), ('Joseph H. Boardman', ''), ('Edward Wytkind', ''), ('William Crosbie', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce102005&auto_play=false&wmode=opaque,222.0,222.0,222.0,222.0,221.0,221.0,218.0,21.0
223,10/5/2005,,https://www.commerce.senate.gov/2005/10/spyware,Spyware,,Commerce,2022-03-22,"['Gordon H. Smith', 'Conrad Burns', 'Deborah Platt Majoras']","['', '', '']","[('Gordon H. Smith', ''), ('Conrad Burns', ''), ('Deborah Platt Majoras', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce100505&auto_play=false&wmode=opaque,223.0,223.0,223.0,223.0,222.0,222.0,219.0,22.0
224,09/29/2005,,https://www.commerce.senate.gov/2005/9/postponed-new-date-tbd-communications-interoperability-session-ii,"POSTPONED, NEW DATE TBD -- Communications Interoperability -- Session II",,Commerce,2022-03-22,"['Mary Landrieu', 'Carmen Lloyd', 'Alex Good', 'John Vaughan', 'Gary Grube']","['', '', '', '', '']","[('Mary Landrieu', ''), ('Carmen Lloyd', ''), ('Alex Good', ''), ('John Vaughan', ''), ('Gary Grube', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce092905p&auto_play=false&wmode=opaque,224.0,224.0,224.0,224.0,223.0,223.0,220.0,23.0
225,09/29/2005,,https://www.commerce.senate.gov/2005/9/communications-interoperability-session-i,Communications Interoperability -- Session I,,Commerce,2022-03-22,"['Ted Stevens', 'David G. Boyd', 'Chief Willis Carter', 'Kenneth Moran', 'Dereck Orr']","['', '', '', '', '']","[('Ted Stevens', ''), ('David G. Boyd', ''), ('Chief Willis Carter', ''), ('Kenneth Moran', ''), ('Dereck Orr', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce092905&auto_play=false&wmode=opaque,225.0,225.0,225.0,225.0,224.0,224.0,221.0,24.0
226,09/28/2005,,https://www.commerce.senate.gov/2005/9/hearing-on-steroids-legislation,Hearing on Steroids Legislation,,Commerce,2022-03-22,"['Ted Stevens', 'John McCain', 'Jim Bunning', 'Donald Fehr', 'Antonio Davis', 'Ted Saskin', 'Paul J. Tagliabue', 'Gary Bettman', 'Allan H. Selig', 'Gene Upshaw', 'David Stern']","['', '', '', '', '', '', '', '', '', '', '']","[('Ted Stevens', ''), ('John McCain', ''), ('Jim Bunning', ''), ('Donald Fehr', ''), ('Antonio Davis', ''), ('Ted Saskin', ''), ('Paul J. Tagliabue', ''), ('Gary Bettman', ''), ('Allan H. Selig', ''), ('Gene Upshaw', ''), ('David Stern', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce092805&auto_play=false&wmode=opaque,226.0,226.0,226.0,226.0,225.0,225.0,222.0,25.0
227,09/22/2005,,https://www.commerce.senate.gov/2005/9/communications-in-a-disaster,Communications in a Disaster,,Commerce,2022-03-22,"['Ted Stevens', 'Daniel K. Inouye', 'Kevin J. Martin', 'Paul Roth', 'Hossein Eslambolchi', 'Bill Smith', 'Jeffrey Citron']","['', '', '', '', '', '', '']","[('Ted Stevens', ''), ('Daniel K. Inouye', ''), ('Kevin J. Martin', ''), ('Paul Roth', ''), ('Hossein Eslambolchi', ''), ('Bill Smith', ''), ('Jeffrey Citron', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce092205&auto_play=false&wmode=opaque,227.0,227.0,227.0,227.0,226.0,226.0,223.0,26.0
228,09/21/2005,,https://www.commerce.senate.gov/2005/9/energy-pricing-session-ii,Energy Pricing -- Session II,,Commerce,2022-03-22,"['Ted Stevens', 'Robert Slaughter', 'Tyson Slocum', 'Ronald W. Kosh', 'Guy F. Caruso']","['', '', '', '', '']","[('Ted Stevens', ''), ('Robert Slaughter', ''), ('Tyson Slocum', ''), ('Ronald W. Kosh', ''), ('Guy F. Caruso', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce092105p&auto_play=false&wmode=opaque,228.0,228.0,228.0,228.0,227.0,227.0,224.0,27.0
229,09/21/2005,,https://www.commerce.senate.gov/2005/9/energy-pricing-session-i,Energy Pricing -- Session I,,Commerce,2022-03-22,"['Ted Stevens', 'Conrad Burns', 'Daniel K. Inouye', 'Odd-Even Bustnes', 'Robin West', 'Jim Wells', 'John Seesel']","['', '', '', '', '', '', '']","[('Ted Stevens', ''), ('Conrad Burns', ''), ('Daniel K. Inouye', ''), ('Odd-Even Bustnes', ''), ('Robin West', ''), ('Jim Wells', ''), ('John Seesel', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce092105&auto_play=false&wmode=opaque,229.0,229.0,229.0,229.0,228.0,228.0,225.0,28.0
230,09/20/2005,,https://www.commerce.senate.gov/2005/9/new-date-time-the-lifesaving-role-of-accurate-hurricane-prediction,NEW DATE & TIME -- The Lifesaving Role of Accurate Hurricane Prediction,,Commerce,2022-03-22,"['Ted Stevens', 'David Vitter', 'Daniel K. Inouye', 'Max Mayfield', 'C. Patrick Roberts', 'Marc L. Levitan', 'Keith G. Blackwell', 'Windell Curole']","['', '', '', '', '', '', '', '']","[('Ted Stevens', ''), ('David Vitter', ''), ('Daniel K. Inouye', ''), ('Max Mayfield', ''), ('C. Patrick Roberts', ''), ('Marc L. Levitan', ''), ('Keith G. Blackwell', ''), ('Windell Curole', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce092005&auto_play=false&wmode=opaque,230.0,230.0,230.0,230.0,229.0,229.0,226.0,29.0
231,09/14/2005,,https://www.commerce.senate.gov/2005/9/review-of-the-impact-of-hurricane-katrina-on-the-aviation-industry,Review of the Impact of Hurricane Katrina on the Aviation Industry,,Commerce,2022-03-22,"['U.S. Daniel K. Inouye', 'U.S. Ted Stevens', 'Tom DeFelice', 'Frank Miller', 'Howard K. Gruenspecht', 'Deborah McElroy']","['', '', '', '', '', '']","[('U.S. Daniel K. Inouye', ''), ('U.S. Ted Stevens', ''), ('Tom DeFelice', ''), ('Frank Miller', ''), ('Howard K. Gruenspecht', ''), ('Deborah McElroy', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce091405&auto_play=false&wmode=opaque,231.0,231.0,231.0,231.0,230.0,230.0,227.0,30.0
232,09/1/2005,,https://www.commerce.senate.gov/2005/9/field-hearing-on-911-and-voip,Field Hearing on 911 and VoIP,,Commerce,2022-03-22,"['Greg Rohde', 'George Heinrichs', 'Wanda S. McCarley', 'Jeffrey Citron', 'David Jones', 'Greg Jergeson', 'Janet Kelly', 'Bill Squires', 'Jeremy Ferkin']","['', '', '', '', '', '', '', '', '']","[('Greg Rohde', ''), ('George Heinrichs', ''), ('Wanda S. McCarley', ''), ('Jeffrey Citron', ''), ('David Jones', ''), ('Greg Jergeson', ''), ('Janet Kelly', ''), ('Bill Squires', ''), ('Jeremy Ferkin', '')]",,232.0,232.0,232.0,232.0,231.0,231.0,228.0,31.0
233,08/10/2005,,https://www.commerce.senate.gov/2005/8/hurricane-preparedness-in-the-grand-strand,Hurricane Preparedness in the Grand Strand,,Commerce,2022-03-22,"['Brad Dean', 'David Prevatt PE', 'Jim Gandy', 'Paul Witten', 'Jim Cantore']","['', '', '', '', '']","[('Brad Dean', ''), ('David Prevatt PE', ''), ('Jim Gandy', ''), ('Paul Witten', ''), ('Jim Cantore', '')]",,233.0,233.0,233.0,233.0,232.0,232.0,229.0,32.0
234,08/5/2005,,https://www.commerce.senate.gov/2005/8/economic-impact-of-the-2010-vancouver-canada-winter-olympics-on-oregon-and-the-pacific-northwest,"Economic Impact of the 2010 Vancouver, Canada Winter Olympics on Oregon and the Pacific Northwest",,Commerce,2022-03-22,"['Drew Mahalic', 'Jane Burnes', 'Dave Riley', 'Carl Wilgus', 'Todd Davidson']","['', '', '', 'https://www.commerce.senate.gov/services/files/D1142355-39F1-4695-8176-B0AAEB3F8D19', '']","[('Drew Mahalic', ''), ('Jane Burnes', ''), ('Dave Riley', ''), ('Carl Wilgus', 'https://www.commerce.senate.gov/services/files/D1142355-39F1-4695-8176-B0AAEB3F8D19'), ('Todd Davidson', '')]",,234.0,234.0,234.0,234.0,233.0,233.0,230.0,33.0
