Date,Time,URL,Title,Location,Committee,Date Scraped,video_url
5/12/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=1F9BED2A-2CE1-4F72-8A12-895E0F140036,"Hearing on the Nominations of Shannon Estenoz to be Assistant Secretary of Fish and Wildlife and Parks of the Department of Interior, Radhika Fox to be Assistant Administrator for Water of the Environmental Protection Agency, and Michal Freedhoff to be Assistant Administrator for Chemical Safety and Pollution Prevention of the Environmental Protection Agency",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw051221&auto_play=false
5/11/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=B03E1516-88B7-45F3-9473-5F223E5FD873,"Equity in Transportation Infrastructure: Connecting Communities, Removing Barriers, and Repairing Networks across America",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw051121&auto_play=false
4/28/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=54655DCA-CB16-49C2-8A87-E32C4765F5B2,Hearing on the Fiscal Year 2022 Proposed Budget for the U.S. Environmental Protection Agency,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw042821&auto_play=false
4/27/21,2:30 PM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=3F35F82A-12FB-4CAF-B12F-294BC45899BC,"Legislative Hearing on S.283, National Climate Bank Act",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw042721&auto_play=false
4/14/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=34FC8BBA-642E-43B0-9C56-75FBC61F6CE4,"Long-term Solvency of the Highway Trust Fund: Lessons Learned from the Surface Transportation System Funding Alternatives Program and Other User-based Revenue Solutions, and How Funding Uncertainty Affects the Highway Programs",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw041421&auto_play=false
3/24/21,9:30 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=C1C16B55-C216-4C29-9B9C-45EC49919FEC,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw032421&auto_play=false
3/17/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=DE00984F-4EC0-4CD9-BA77-A781E4F94DA1,Examining the Challenges Facing Drinking Water and Wastewater Infrastructure Projects,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw031721&auto_play=false
3/10/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=B26712B4-FE3B-4259-A3C6-82FDCA9B9949,Building Back Better: Addressing Climate Change in the Electricity Sector and Fostering Economic Growth,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw031021&auto_play=false
3/3/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=9F541393-48E4-4DD7-A8D7-33937647673E,Hearing on the Nominations of Brenda Mallory to serve as Chair of CEQ and Janet McCabe to be Deputy Administrator of EPA,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw030321&auto_play=false
2/24/21,10:15 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=A076F488-6A1E-41DB-9279-7C943023D8D9,"Building Back Better: Investing in Transportation while Addressing Climate Change, Improving Equity, and Fostering Economic Growth and Innovation",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw022421&auto_play=false
2/9/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=82560C48-AB97-456D-B287-0D36A5596B69,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw020921&auto_play=false
2/3/21,2:00 PM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=D825A7BE-3D52-4651-9664-A373EB3699A5,Hearing on the Nomination of Michael S. Regan to be Administrator of the Environmental Protection Agency,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw020321&auto_play=false
12/9/20,9:45 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=DCD634CB-BB37-4569-98A1-4EC932CC1AA0,"Subcommittee Hearing on the Nomination of Charles W. Cook, Jr. to be a Member of the Board of Directors of the Tennessee Valley Authority",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw120920&auto_play=false
12/2/20,9:45 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=2B63E442-617A-4C2B-A95D-524B24DF9C5D,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw120220&auto_play=false
9/23/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=D5185E02-178C-42B6-81DD-B3D16A765E78,"Modernizing the Endangered Species Act: Legislative Hearing on S. 4589, the Endangered Species Act Amendments of 2020",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw092320&auto_play=false
9/16/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=6A3E6846-755D-44C8-94CF-3D9167385E8D,Stakeholder Reactions: The Navigable Waters Protection Rule under the Clean Water Act,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw091620&auto_play=false
9/9/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=070350AF-A050-4268-BC35-CB60FB7D94FC,"Successful State Stewardship: A Legislative Hearing to Examine S.614, the Grizzly Bear State Management Act",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw090920&auto_play=false
8/19/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=5EB595BE-E04D-4809-BEE8-133FDEDD5929,Energy and Environmental Innovation: Wyoming’s Leadership in Using and Storing Carbon Dioxide Emissions,,Enviroment,2021-09-07,
8/5/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=8B42027F-E217-4831-9711-B905711C4253,"Hearing to Examine a Discussion Draft Bill, S.____, American Nuclear Infrastructure Act of 2020",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw080520&auto_play=false
7/29/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=1EEAF1B8-B954-4C1B-965E-02BD49EF4E71,Lessons Learned from Remote Working during COVID-19: Can the Government Save Money Through Maximizing Efficient Use of Leased Space?,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw072920&auto_play=false
