,Date,Time,URL,Title,Location,Committee,Date Scraped,witnesses,transcripts,witness_transcripts,video_url,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
10,03/03/22,10:00AM,https://www.banking.senate.gov/hearings/02/24/2022/the-semiannual-monetary-policy-report-to-the-congress,Full Committee Hearing:The Semiannual Monetary Policy Report to the Congress,Dirksen Senate Office Building 538,Banking,2022-03-24,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Jerome H. Powell']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-3-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-3-221.pdf', 'https://www.banking.senate.gov/imo/media/doc/Powell%20Testimony%203-3-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-3-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-3-221.pdf'), ('Jerome H. Powell', 'https://www.banking.senate.gov/imo/media/doc/Powell%20Testimony%203-3-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=C787F710-5056-A066-60AD-31CD89B8E2AB,6.0,6.0,,
11,02/17/22,10:00AM,https://www.banking.senate.gov/hearings/the-state-of-the-american-economy-a-year-of-unprecedented-economic-growth-and-future-plans,Full Committee Hearing:The State of the American Economy: A Year of Unprecedented Economic Growth and Future Plans,Dirksen Senate Office Building 538,Banking,2022-03-24,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Cecilia Rouse', 'Jared Bernstein', 'Heather Boushey']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%202-17-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%202-17-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/CEA%20Testimony%202-17-22.pdf', '', '']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%202-17-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%202-17-22.pdf'), ('Cecilia Rouse', 'https://www.banking.senate.gov/imo/media/doc/CEA%20Testimony%202-17-22.pdf'), ('Jared Bernstein', ''), ('Heather Boushey', '')]",https://www.banking.senate.gov/hearings/watch?hearingid=FE048CB9-5056-A066-6052-953D3F1454F0,7.0,7.0,,
12,02/15/22,10:00AM,https://www.banking.senate.gov/hearings/examining-the-presidents-working-group-on-financial-markets-report-on-stablecoins,Full Committee Hearing:Examining the President’s Working Group on Financial Markets Report on Stablecoins,Dirksen Senate Office Building 538,Banking,2022-03-24,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Nellie Liang']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%202-15-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%202-15-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Liang%20Testimony%202-15-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%202-15-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%202-15-22.pdf'), ('Nellie Liang', 'https://www.banking.senate.gov/imo/media/doc/Liang%20Testimony%202-15-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=882BAF41-5056-A066-60C6-191CD325E601,8.0,8.0,,
13,02/10/22,10:00AM,https://www.banking.senate.gov/hearings/how-institutional-landlords-are-changing-the-housing-market,Full Committee Hearing:How Institutional Landlords are Changing the Housing Market,Dirksen Senate Office Building 538,Banking,2022-03-24,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Michael Waller', 'Aneta Molenda', 'Tobias Peter', 'Joel Griffith', 'Sally Martin']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%202-10-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%202-10-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Waller%20Testimony%202-10-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Molenda%20Testimony%202-10-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Peter%20Testimony%202-10-228.pdf', 'https://www.banking.senate.gov/imo/media/doc/Griffith%20Testimony%202-10-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Martin%20Testimony%202-10-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%202-10-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%202-10-22.pdf'), ('Michael Waller', 'https://www.banking.senate.gov/imo/media/doc/Waller%20Testimony%202-10-22.pdf'), ('Aneta Molenda', 'https://www.banking.senate.gov/imo/media/doc/Molenda%20Testimony%202-10-22.pdf'), ('Tobias Peter', 'https://www.banking.senate.gov/imo/media/doc/Peter%20Testimony%202-10-228.pdf'), ('Joel Griffith', 'https://www.banking.senate.gov/imo/media/doc/Griffith%20Testimony%202-10-22.pdf'), ('Sally Martin', 'https://www.banking.senate.gov/imo/media/doc/Martin%20Testimony%202-10-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=939DFAF0-5056-A066-6003-54F20894B94D,9.0,9.0,,
14,02/09/22,02:30PM,https://www.banking.senate.gov/hearings/the-role-that-community-development-financial-institutions-and-minority-depository-institutions-serve-in-supporting-communities,Subcommittee Hearing:The Role that Community Development Financial Institutions and Minority Depository Institutions Serve in Supporting Communities,Dirksen Senate Office Building 538,Banking,2022-03-22,"['Raphael Warnock', 'Thom Tillis', 'Robert James II', 'Jeanne Kucey', 'Joel Griffith']","['https://www.banking.senate.gov/imo/media/doc/Warnock%20Statement%202-9-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Tillis%20Statement%202-9-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/James%20Testimony%202-9-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Kucey%20Testimony%202-9-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Griffith%20Testimony%202-9-221.pdf']","[('Raphael Warnock', 'https://www.banking.senate.gov/imo/media/doc/Warnock%20Statement%202-9-22.pdf'), ('Thom Tillis', 'https://www.banking.senate.gov/imo/media/doc/Tillis%20Statement%202-9-22.pdf'), ('Robert James II', 'https://www.banking.senate.gov/imo/media/doc/James%20Testimony%202-9-22.pdf'), ('Jeanne Kucey', 'https://www.banking.senate.gov/imo/media/doc/Kucey%20Testimony%202-9-22.pdf'), ('Joel Griffith', 'https://www.banking.senate.gov/imo/media/doc/Griffith%20Testimony%202-9-221.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=678A3627-5056-A066-607D-B993E0C4C006,10.0,10.0,9.0,9
15,02/08/22,10:00AM,https://www.banking.senate.gov/hearings/02/04/2022/member-and-staff-briefing,Unknown:Member and Staff Briefing,Virtual ,Banking,2022-03-22,[],[],[],https://www.banking.senate.gov/hearings/watch?hearingid=9AB7A158-5056-A066-6080-489E5F74B995,11.0,11.0,10.0,10
16,02/03/22,08:45AM,https://www.banking.senate.gov/hearings/01/25/2022/nomination-hearing,Nomination Hearing:Nomination Hearing,Dirksen Senate Office Building 106,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Sarah Bloom Raskin', 'Lisa DeNell Cook', 'Philip Nathan Jefferson']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Opening%20Statement%202-3-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Opening%20Statement%202-3-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Raskin%20Statement%202-3-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Cook%20Statement%202-3-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Jefferson%20Statement%202-3-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Opening%20Statement%202-3-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Opening%20Statement%202-3-22.pdf'), ('Sarah Bloom Raskin', 'https://www.banking.senate.gov/imo/media/doc/Raskin%20Statement%202-3-22.pdf'), ('Lisa DeNell Cook', 'https://www.banking.senate.gov/imo/media/doc/Cook%20Statement%202-3-22.pdf'), ('Philip Nathan Jefferson', 'https://www.banking.senate.gov/imo/media/doc/Jefferson%20Statement%202-3-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=C05E5920-5056-A066-6084-AB9D5C08607A,12.0,12.0,11.0,11
17,01/13/22,10:00AM,https://www.banking.senate.gov/hearings/01/04/2022/nomination-hearing-1,Nomination Hearing:Nomination Hearing,Dirksen Senate Office Building 106,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Lael Brainard', 'Sandra Thompson']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%201-13-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%201-13-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Brainard%20Testimony%201-13-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Thompson%20Testimony%201-13-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%201-13-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%201-13-22.pdf'), ('Lael Brainard', 'https://www.banking.senate.gov/imo/media/doc/Brainard%20Testimony%201-13-22.pdf'), ('Sandra Thompson', 'https://www.banking.senate.gov/imo/media/doc/Thompson%20Testimony%201-13-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=82F7EBBA-5056-A066-60E8-8EAC3593F4AA,13.0,13.0,12.0,12
18,01/11/22,10:00AM,https://www.banking.senate.gov/hearings/01/04/2022/nomination-hearing,Nomination Hearing:Nomination Hearing,Dirksen Senate Office Building 106,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Jerome H. Powell']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%201-11-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%201-11-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Powell%20Testimony%201-11-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%201-11-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%201-11-22.pdf'), ('Jerome H. Powell', 'https://www.banking.senate.gov/imo/media/doc/Powell%20Testimony%201-11-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=82953427-5056-A066-60CE-DE2355C201EB,14.0,14.0,13.0,13
19,01/05/22,10:00AM,https://www.banking.senate.gov/hearings/exploring-how-community-development-financial-institutions-support-underserved-communities,Subcommittee Hearing:Exploring How Community Development Financial Institutions Support Underserved Communities,Virtual ,Banking,2022-03-22,"['John Holdsclaw IV', 'Frank Altman', 'Lakota Vogel']","['https://www.banking.senate.gov/imo/media/doc/Holdsclaw%20Testimony%201-5-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Altman%20Testimony%201-5-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Vogel%20Testimony%201-5-221.pdf']","[('John Holdsclaw IV', 'https://www.banking.senate.gov/imo/media/doc/Holdsclaw%20Testimony%201-5-22.pdf'), ('Frank Altman', 'https://www.banking.senate.gov/imo/media/doc/Altman%20Testimony%201-5-22.pdf'), ('Lakota Vogel', 'https://www.banking.senate.gov/imo/media/doc/Vogel%20Testimony%201-5-221.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=4F1CC486-5056-A066-60A3-EE7A0957A44F,15.0,15.0,14.0,14
