,Date,Time,URL,Title,Location,Committee,Date Scraped,witnesses,transcripts,witness_transcripts,video_url,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
55,06/08/21,02:30PM,https://www.banking.senate.gov/hearings/rural-transit-opportunities-and-challenges-for-connecting-communities,Subcommittee Hearing:Rural Transit: Opportunities and Challenges for Connecting Communities,Remote  ,Banking,2022-03-22,"['Brandon Nurmi', 'Kendra McGeady', 'Barbara Cline']","['https://www.banking.senate.gov/imo/media/doc/Nurmi%20Testimony%206-8-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/McGeady%20Testimony%206-8-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Cline%20Testimony%206-8-21.pdf']","[('Brandon Nurmi', 'https://www.banking.senate.gov/imo/media/doc/Nurmi%20Testimony%206-8-21.pdf'), ('Kendra McGeady', 'https://www.banking.senate.gov/imo/media/doc/McGeady%20Testimony%206-8-21.pdf'), ('Barbara Cline', 'https://www.banking.senate.gov/imo/media/doc/Cline%20Testimony%206-8-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=E797B518-5056-A066-6019-6B458BF4D0B1,51.0,51.0,50.0,50
56,05/27/21,10:00AM,https://www.banking.senate.gov/hearings/housing-for-native-americans-review-of-federal-programs-barriers-and-opportunities,"Subcommittee Hearing:Housing for Native Americans: Review of Federal Programs, Barriers, and Opportunities",Remote ,Banking,2022-03-22,"['Dante Desiderio', 'Adrian V. Stevens', 'Alene Tchourumoff', 'Michael Goze', 'Eric E. Shepherd']","['https://www.banking.senate.gov/imo/media/doc/Desiderio%20Testimony%205-27-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Stevens%20Testimony%205-27-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Tchourumoff%20Testimony%205-27-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Goze%20Testimony%205-27-212.pdf', 'https://www.banking.senate.gov/imo/media/doc/Shepherd%20Testimony%205-27-21.pdf']","[('Dante Desiderio', 'https://www.banking.senate.gov/imo/media/doc/Desiderio%20Testimony%205-27-21.pdf'), ('Adrian V. Stevens', 'https://www.banking.senate.gov/imo/media/doc/Stevens%20Testimony%205-27-21.pdf'), ('Alene Tchourumoff', 'https://www.banking.senate.gov/imo/media/doc/Tchourumoff%20Testimony%205-27-21.pdf'), ('Michael Goze', 'https://www.banking.senate.gov/imo/media/doc/Goze%20Testimony%205-27-212.pdf'), ('Eric E. Shepherd', 'https://www.banking.senate.gov/imo/media/doc/Shepherd%20Testimony%205-27-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=770AF60E-5056-A066-600E-FCE090C8CE5E,52.0,52.0,51.0,51
57,05/26/21,10:00AM,https://www.banking.senate.gov/hearings/annual-oversight-of-wall-street-firms,Full Committee Hearing:Annual Oversight of Wall Street Firms,Remote ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Charles W. Scharf', 'David M. Solomon', 'Jane Fraser', 'Jamie Dimon', 'Brian Thomas Moynihan', 'James P. Gorman']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%205-26-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Opening%20Statement%205-26-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Scharf%20Testimony%205-26-213.pdf', 'https://www.banking.senate.gov/imo/media/doc/David%20M%20Solomon%20Written%20Testimony%20(Senate).pdf', 'https://www.banking.senate.gov/imo/media/doc/Fraser%20Testimony%205-26-211.pdf', 'https://www.banking.senate.gov/imo/media/doc/Dimon%20Testimony%205-26-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/MoynihanTestimony%205-26-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Gorman%20Testimony%205-26-211.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%205-26-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Opening%20Statement%205-26-21.pdf'), ('Charles W. Scharf', 'https://www.banking.senate.gov/imo/media/doc/Scharf%20Testimony%205-26-213.pdf'), ('David M. Solomon', 'https://www.banking.senate.gov/imo/media/doc/David%20M%20Solomon%20Written%20Testimony%20(Senate).pdf'), ('Jane Fraser', 'https://www.banking.senate.gov/imo/media/doc/Fraser%20Testimony%205-26-211.pdf'), ('Jamie Dimon', 'https://www.banking.senate.gov/imo/media/doc/Dimon%20Testimony%205-26-21.pdf'), ('Brian Thomas Moynihan', 'https://www.banking.senate.gov/imo/media/doc/MoynihanTestimony%205-26-21.pdf'), ('James P. Gorman', 'https://www.banking.senate.gov/imo/media/doc/Gorman%20Testimony%205-26-211.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=FC0E13C8-5056-A066-6010-E86F5367A55A,53.0,53.0,52.0,52
58,05/25/21,10:00AM,https://www.banking.senate.gov/hearings/05/19/2021/the-semiannual-testimony-on-the-federal-reserves-supervision-and-regulation-of-the-financial-system,Full Committee Hearing:The Semiannual Testimony on the Federal Reserve’s Supervision and Regulation of the Financial System,Remote ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Randal K. Quarles']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%205-25-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%205-25-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Quarles%20Testimony%205-25-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%205-25-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%205-25-21.pdf'), ('Randal K. Quarles', 'https://www.banking.senate.gov/imo/media/doc/Quarles%20Testimony%205-25-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=49A8CE4F-5056-A066-6012-C0CF9D67ABF0,54.0,54.0,53.0,53
59,05/20/21,10:00AM,https://www.banking.senate.gov/hearings/21st-century-communities-expanding-opportunity-through-infrastructure-investments,Full Committee Hearing:21st Century Communities: Expanding Opportunity Through Infrastructure Investments,Remote ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Marcia L. Fudge', 'Pete Buttigieg']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%205-20-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%205-20-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Fudge%20Testimony%205-20-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Buttigieg%20Testimony%205-20-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%205-20-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%205-20-21.pdf'), ('Marcia L. Fudge', 'https://www.banking.senate.gov/imo/media/doc/Fudge%20Testimony%205-20-21.pdf'), ('Pete Buttigieg', 'https://www.banking.senate.gov/imo/media/doc/Buttigieg%20Testimony%205-20-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=09FB4AC7-5056-A066-6050-578784C663A5,55.0,55.0,54.0,54
60,05/18/21,10:00AM,https://www.banking.senate.gov/hearings/05/11/2021/reauthorization-of-the-national-flood-insurance-program-part-i,"Full Committee Hearing:Reauthorization of the National Flood Insurance Program, Part I",Remote ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Chad Berginnis', 'Velma M. Smith', 'Rebecca Kagan Sternhell', 'Stephen Ellis', 'R.J. Lehmann']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%205-18-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%205-18-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Berginnis%20Testimony%205-18-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Smith%20Testimony%205-18-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Sternhell%20Testimony%205-18-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Ellis%20Testimony%205-18-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Lehmann%20Testimony%205-18-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%205-18-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%205-18-21.pdf'), ('Chad Berginnis', 'https://www.banking.senate.gov/imo/media/doc/Berginnis%20Testimony%205-18-21.pdf'), ('Velma M. Smith', 'https://www.banking.senate.gov/imo/media/doc/Smith%20Testimony%205-18-21.pdf'), ('Rebecca Kagan Sternhell', 'https://www.banking.senate.gov/imo/media/doc/Sternhell%20Testimony%205-18-21.pdf'), ('Stephen Ellis', 'https://www.banking.senate.gov/imo/media/doc/Ellis%20Testimony%205-18-21.pdf'), ('R.J. Lehmann', 'https://www.banking.senate.gov/imo/media/doc/Lehmann%20Testimony%205-18-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=AF1C3942-5056-A066-6059-DF11BD9DE218,56.0,56.0,55.0,55
61,05/11/21,10:00AM,https://www.banking.senate.gov/hearings/05/04/2021/nomination-hearing,Nomination Hearing:Nomination Hearing,Remote ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Adrianne Todman', 'Nuria Fernandez']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%205-11-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%205-11-211.pdf', 'https://www.banking.senate.gov/imo/media/doc/Todman%20Testimony%205-11-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Fernandez%20Testimony%205-11-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%205-11-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%205-11-211.pdf'), ('Adrianne Todman', 'https://www.banking.senate.gov/imo/media/doc/Todman%20Testimony%205-11-21.pdf'), ('Nuria Fernandez', 'https://www.banking.senate.gov/imo/media/doc/Fernandez%20Testimony%205-11-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=35A05614-5056-A066-60A9-84F5547A35DB,57.0,57.0,56.0,56
62,04/29/21,10:00AM,https://www.banking.senate.gov/hearings/the-dignity-of-work,Full Committee Hearing:The Dignity of Work,Remote ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Heather McGhee', 'Lisa Donner', 'Trevon Logan', 'Andrew Puzder', 'Vivek Ramaswamy']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-29-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%204-29-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/McGhee%20Testimony%204-29-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Donner%20Testimony%204-29-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Logan%20Testimony%204-29-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Puzder%20Testimony%204-29-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Ramaswamy%20Testimony%204-29-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-29-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%204-29-21.pdf'), ('Heather McGhee', 'https://www.banking.senate.gov/imo/media/doc/McGhee%20Testimony%204-29-21.pdf'), ('Lisa Donner', 'https://www.banking.senate.gov/imo/media/doc/Donner%20Testimony%204-29-21.pdf'), ('Trevon Logan', 'https://www.banking.senate.gov/imo/media/doc/Logan%20Testimony%204-29-21.pdf'), ('Andrew Puzder', 'https://www.banking.senate.gov/imo/media/doc/Puzder%20Testimony%204-29-21.pdf'), ('Vivek Ramaswamy', 'https://www.banking.senate.gov/imo/media/doc/Ramaswamy%20Testimony%204-29-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=D2815FDA-5056-A066-6048-E959B0116FAE,58.0,58.0,57.0,57
63,04/28/21,10:00AM,https://www.banking.senate.gov/hearings/the-reemergence-of-rent-a-bank,Full Committee Hearing:The Reemergence of Rent-a-Bank?,Remote  ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Josh Stein', 'Lisa Stifler', 'Frederick D. Haynes, III', 'Brian Brooks', 'Charles Calomiris']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-28-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Opening%20Statement%204-28-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Stein%20Testimony%204-28-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Stifler%20Testimony%204-28-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Haynes%20Testimony%204-28-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Brooks%20Testimony%204-28-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Calomiris%20Testimony%204-28-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-28-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Opening%20Statement%204-28-21.pdf'), ('Josh Stein', 'https://www.banking.senate.gov/imo/media/doc/Stein%20Testimony%204-28-21.pdf'), ('Lisa Stifler', 'https://www.banking.senate.gov/imo/media/doc/Stifler%20Testimony%204-28-21.pdf'), ('Frederick D. Haynes, III', 'https://www.banking.senate.gov/imo/media/doc/Haynes%20Testimony%204-28-21.pdf'), ('Brian Brooks', 'https://www.banking.senate.gov/imo/media/doc/Brooks%20Testimony%204-28-21.pdf'), ('Charles Calomiris', 'https://www.banking.senate.gov/imo/media/doc/Calomiris%20Testimony%204-28-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=A8A5E451-5056-A066-6059-C5155129E99E,59.0,59.0,58.0,58
64,04/27/21,10:00AM,https://www.banking.senate.gov/hearings/member-and-staff-briefing,Unknown:Member and Staff Briefing,Remote ,Banking,2022-03-22,[],[],[],https://www.banking.senate.gov/hearings/watch?hearingid=D4D6F9A9-5056-A066-6042-4D187997DAEC,60.0,60.0,59.0,59
65,04/22/21,10:00AM,https://www.banking.senate.gov/hearings/21st-century-communities_capitalizing-on-opportunities-in-the-clean-energy-economy,Full Committee Hearing:21st Century Communities:  Capitalizing on Opportunities in the Clean Energy Economy,Remote ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Ernest Moniz', 'Khalil Shahyd', 'Zoe Lipman', 'David Kreutzer', 'Neal Crabtree']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-22-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%204-22-211.pdf', 'https://www.banking.senate.gov/imo/media/doc/Moniz%20Testimony%204-22-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Shahyd%20Testimony%204-22-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Lipman%20Testimony%204-22-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Kreutzer%20Testimony%204-22-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Crabtree%20Testimony%204-22-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-22-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%204-22-211.pdf'), ('Ernest Moniz', 'https://www.banking.senate.gov/imo/media/doc/Moniz%20Testimony%204-22-21.pdf'), ('Khalil Shahyd', 'https://www.banking.senate.gov/imo/media/doc/Shahyd%20Testimony%204-22-21.pdf'), ('Zoe Lipman', 'https://www.banking.senate.gov/imo/media/doc/Lipman%20Testimony%204-22-21.pdf'), ('David Kreutzer', 'https://www.banking.senate.gov/imo/media/doc/Kreutzer%20Testimony%204-22-21.pdf'), ('Neal Crabtree', 'https://www.banking.senate.gov/imo/media/doc/Crabtree%20Testimony%204-22-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=68F596B1-5056-A066-60EB-F8520FD15791,61.0,61.0,60.0,60
66,04/20/21,10:00AM,https://www.banking.senate.gov/hearings/an-economy-that-works-for-everyone-investing-in-rural-communities,Full Committee Hearing:An Economy that Works For Everyone: Investing in Rural Communities,Remote ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'William J. (Bill) Bynum', 'Stacy Mitchell', 'Marcia Erickson', 'Affie Ellis', 'Kathleen Sgamma']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-20-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%204-20-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Bynum%20Testimony%204-20-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Mitchell%20Testimony%204-20-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Erickson%20Testimony%204-20-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Ellis%20Testimony%204-20-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Sgamma%20Testimony%204-20-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-20-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%204-20-21.pdf'), ('William J. (Bill) Bynum', 'https://www.banking.senate.gov/imo/media/doc/Bynum%20Testimony%204-20-21.pdf'), ('Stacy Mitchell', 'https://www.banking.senate.gov/imo/media/doc/Mitchell%20Testimony%204-20-21.pdf'), ('Marcia Erickson', 'https://www.banking.senate.gov/imo/media/doc/Erickson%20Testimony%204-20-21.pdf'), ('Affie Ellis', 'https://www.banking.senate.gov/imo/media/doc/Ellis%20Testimony%204-20-21.pdf'), ('Kathleen Sgamma', 'https://www.banking.senate.gov/imo/media/doc/Sgamma%20Testimony%204-20-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=06B22378-5056-A066-606D-1EAB4A261D35,62.0,62.0,61.0,61
67,04/15/21,10:00AM,https://www.banking.senate.gov/hearings/21st-century-communities-public-transportation-infrastructure-investment-and-fast-act-reauthorization,Full Committee Hearing:21st Century Communities: Public Transportation Infrastructure Investment and FAST Act Reauthorization,Remote ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Darryl Haley', 'John Samuelsen', 'Beth Osborne', 'Baruch Feigenbaum', 'David Ditch']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-15-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%204-15-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Haley%20Testimony%204-15-211.pdf', 'https://www.banking.senate.gov/imo/media/doc/Samuelsen%20Testimony%204-15-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Osborne%20Testimony%204-15-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Feigenbaum%20Testimony%204-15-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Ditch%20Testimony%204-15-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-15-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%204-15-21.pdf'), ('Darryl Haley', 'https://www.banking.senate.gov/imo/media/doc/Haley%20Testimony%204-15-211.pdf'), ('John Samuelsen', 'https://www.banking.senate.gov/imo/media/doc/Samuelsen%20Testimony%204-15-21.pdf'), ('Beth Osborne', 'https://www.banking.senate.gov/imo/media/doc/Osborne%20Testimony%204-15-21.pdf'), ('Baruch Feigenbaum', 'https://www.banking.senate.gov/imo/media/doc/Feigenbaum%20Testimony%204-15-21.pdf'), ('David Ditch', 'https://www.banking.senate.gov/imo/media/doc/Ditch%20Testimony%204-15-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=FF0F34C5-5056-A066-609D-B61BB78567E4,63.0,63.0,62.0,62
68,04/13/21,02:30PM,https://www.banking.senate.gov/hearings/the-student-debt-burden-and-its-impact-on-racial-justice-borrowers-and-the-economy,"Subcommittee Hearing:The Student Debt Burden and Its Impact on Racial Justice, Borrowers, & The Economy",Remote ,Banking,2022-03-22,"['Ayanna Pressley', 'Byron Donalds', 'Maura Healey', 'Darimir Perez', 'James H. Steeley', 'John F. Remondi', 'Beth Akers', 'Constantine Yannelis', 'Alexander Holt', 'Adam Looney', 'Dominique Baker']","['https://www.banking.senate.gov/imo/media/doc/Pressley%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Donalds%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Healey%20Testimony%204-13-212.pdf', 'https://www.banking.senate.gov/imo/media/doc/Perez%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Steeley%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Remondi%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Akers%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Yannelis%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Holt%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Looney%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Baker%20Testimony%204-13-21.pdf']","[('Ayanna Pressley', 'https://www.banking.senate.gov/imo/media/doc/Pressley%20Testimony%204-13-21.pdf'), ('Byron Donalds', 'https://www.banking.senate.gov/imo/media/doc/Donalds%20Testimony%204-13-21.pdf'), ('Maura Healey', 'https://www.banking.senate.gov/imo/media/doc/Healey%20Testimony%204-13-212.pdf'), ('Darimir Perez', 'https://www.banking.senate.gov/imo/media/doc/Perez%20Testimony%204-13-21.pdf'), ('James H. Steeley', 'https://www.banking.senate.gov/imo/media/doc/Steeley%20Testimony%204-13-21.pdf'), ('John F. Remondi', 'https://www.banking.senate.gov/imo/media/doc/Remondi%20Testimony%204-13-21.pdf'), ('Beth Akers', 'https://www.banking.senate.gov/imo/media/doc/Akers%20Testimony%204-13-21.pdf'), ('Constantine Yannelis', 'https://www.banking.senate.gov/imo/media/doc/Yannelis%20Testimony%204-13-21.pdf'), ('Alexander Holt', 'https://www.banking.senate.gov/imo/media/doc/Holt%20Testimony%204-13-21.pdf'), ('Adam Looney', 'https://www.banking.senate.gov/imo/media/doc/Looney%20Testimony%204-13-21.pdf'), ('Dominique Baker', 'https://www.banking.senate.gov/imo/media/doc/Baker%20Testimony%204-13-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=99FC6E39-5056-A066-6019-26BD14B74057,64.0,64.0,63.0,63
69,04/13/21,10:00AM,https://www.banking.senate.gov/hearings/separate-and-unequal-the-legacy-of-racial-discrimination-in-housing,Full Committee Hearing:Separate and Unequal: The Legacy of Racial Discrimination in Housing,Remote ,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Richard Rothstein', 'Lisa Rice', 'Jason Reece', 'Howard Husock', 'Tobias Peter']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Rothstein%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Rice%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Reece%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Husock%20Testimony%204-13-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Peter%20Testimony%204-13-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%204-13-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%204-13-21.pdf'), ('Richard Rothstein', 'https://www.banking.senate.gov/imo/media/doc/Rothstein%20Testimony%204-13-21.pdf'), ('Lisa Rice', 'https://www.banking.senate.gov/imo/media/doc/Rice%20Testimony%204-13-21.pdf'), ('Jason Reece', 'https://www.banking.senate.gov/imo/media/doc/Reece%20Testimony%204-13-21.pdf'), ('Howard Husock', 'https://www.banking.senate.gov/imo/media/doc/Husock%20Testimony%204-13-21.pdf'), ('Tobias Peter', 'https://www.banking.senate.gov/imo/media/doc/Peter%20Testimony%204-13-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=99ACE9FD-5056-A066-6049-A7C070ECDD19,65.0,65.0,64.0,64
70,03/25/21,10:00AM,https://www.banking.senate.gov/hearings/american-rescue-plan-shots-in-arms-and-money-in-pockets,Full Committee Hearing:American Rescue Plan: Shots in Arms and Money in Pockets,,Banking,2022-03-22,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Amy K. Matsui', 'Sharon Parrott', 'Rory Cooper', 'Angela Rachidi']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-25-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-25-211.pdf', 'https://www.banking.senate.gov/imo/media/doc/Matsui%20Testimony%203-25-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Parrott%20Testimony%203-25-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Cooper%20Testimony%203-25-21.pdf', 'https://www.banking.senate.gov/imo/media/doc/Rachidi%20Testimony%203-25-21.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-25-21.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-25-211.pdf'), ('Amy K. Matsui', 'https://www.banking.senate.gov/imo/media/doc/Matsui%20Testimony%203-25-21.pdf'), ('Sharon Parrott', 'https://www.banking.senate.gov/imo/media/doc/Parrott%20Testimony%203-25-21.pdf'), ('Rory Cooper', 'https://www.banking.senate.gov/imo/media/doc/Cooper%20Testimony%203-25-21.pdf'), ('Angela Rachidi', 'https://www.banking.senate.gov/imo/media/doc/Rachidi%20Testimony%203-25-21.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=CADA0FB8-5056-A066-609F-9CC9A38F1D48,66.0,66.0,65.0,65
