,Date,Time,URL,Title,Location,Committee,Date Scraped,video_url,index,collection,packageId,granuleId,detailsLink,pdfLink,htmlLink,xmlLink,otherLink1,otherLink2,teaser,historical,publishdate
42,3/4/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=ED3A18CD-EAB6-472A-B8F6-C6D6F7E6CCF7,Oversight of the Nuclear Regulatory Commission,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw030420&auto_play=false,5.0,Congressional Hearings,CHRG-115shrg28623,CHRG-115shrg28623,https://www.govinfo.gov/app/details/CHRG-115shrg28623/CHRG-115shrg28623,https://www.govinfo.gov/content/pkg/CHRG-115shrg28623/pdf/CHRG-115shrg28623.pdf,https://www.govinfo.gov/content/pkg/CHRG-115shrg28623/html/CHRG-115shrg28623.htm,,,,"HUNDRED FIFTEENTH CONGRESS FIRST SESSION DECEMBER 13, 2017 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 28-623 PDF WASHINGTON : 2018 For sale by the Superintendent of Documents, U.S. Government ...",,2017-12-13
49,2/5/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=DD14A2E8-3F51-4148-BF1A-1AFA0122A591,Oversight of the U.S. Fish and Wildlife Service,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw020520&auto_play=false,88.0,Congressional Hearings,CHRG-116shrg42433,CHRG-116shrg42433,https://www.govinfo.gov/app/details/CHRG-116shrg42433/CHRG-116shrg42433,https://www.govinfo.gov/content/pkg/CHRG-116shrg42433/pdf/CHRG-116shrg42433.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg42433/html/CHRG-116shrg42433.htm,,,," HUNDRED SIXTEENTH CONGRESS SECOND SESSION FEBRUARY 5, 2020 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 42-433 PDF WASHINGTON : 2020 COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS ONE HUNDRED ...",,2020-02-05
50,1/29/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=AC86E1F2-3A8A-473E-80BB-7F338CAC16F6,Stakeholder Perspectives on the Importance of the U.S. Chemical Safety and Hazard Investigation Board,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw012920&auto_play=false,89.0,Congressional Hearings,CHRG-116shrg42637,CHRG-116shrg42637,https://www.govinfo.gov/app/details/CHRG-116shrg42637/CHRG-116shrg42637,https://www.govinfo.gov/content/pkg/CHRG-116shrg42637/pdf/CHRG-116shrg42637.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg42637/html/CHRG-116shrg42637.htm,,,," ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS SECOND SESSION JANUARY 29, 2020 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 42-637PDF WASHINGTON : 2021...",,2020-01-29
51,1/22/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=A4B58FE9-119B-4F4E-AEA7-001B64FCED4B,Oversight of the Economic Development Administration,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw012220&auto_play=false,418.0,Congressional Hearings,CHRG-111shrg94586,CHRG-111shrg94586,https://www.govinfo.gov/app/details/CHRG-111shrg94586/CHRG-111shrg94586,https://www.govinfo.gov/content/pkg/CHRG-111shrg94586/pdf/CHRG-111shrg94586.pdf,https://www.govinfo.gov/content/pkg/CHRG-111shrg94586/html/CHRG-111shrg94586.htm,,,," ONE HUNDRED ELEVENTH CONGRESS FIRST SESSION MAY 21, 2009 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.gpo.gov/fdsys ______ U.S. GOVERNMENT PUBLISHING OFFICE 94-586 PDF WASHINGTON : 2015 For sale by the Superintendent of Documents, U.S. ...",,2009-05-21
53,1/15/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=5D6D8D4D-BEF5-4FBE-8C59-76A46C527286,One Year of Progress: An Update on Implementation of the Nuclear Energy Innovation and Modernization Act,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw011520&auto_play=false,92.0,Congressional Hearings,CHRG-116shrg40225,CHRG-116shrg40225,https://www.govinfo.gov/app/details/CHRG-116shrg40225/CHRG-116shrg40225,https://www.govinfo.gov/content/pkg/CHRG-116shrg40225/pdf/CHRG-116shrg40225.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg40225/html/CHRG-116shrg40225.htm,,,," ON ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS SECOND SESSION JANUARY 15, 2020 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 40-225 PDF WASHINGTON : 2020 ...",,2020-01-15
55,1/8/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=E6FC40E5-8DBF-44EA-904D-248E338B7B2C,The Nonpoint Source Management Program Under the Clean Water Act: Perspectives from States,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw010820&auto_play=false,94.0,Congressional Hearings,CHRG-116shrg39944,CHRG-116shrg39944,https://www.govinfo.gov/app/details/CHRG-116shrg39944/CHRG-116shrg39944,https://www.govinfo.gov/content/pkg/CHRG-116shrg39944/pdf/CHRG-116shrg39944.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg39944/html/CHRG-116shrg39944.htm,,,," AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS SECOND SESSION JANUARY 8, 2020 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 39-944 PDF WASHINGTON : 2020 COMMITTEE ON ...",,2020-01-08
60,11/19/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=2C5DAB96-D66E-4D96-8886-D1D841AA6F6B,"Hearing on S. 1087, the Water Quality Certification Improvement Act of 2019, and Other Potential Reforms to Improve Implementation of Section 401 of the Clean Water Act: State Perspectives",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw111919&auto_play=false,26.0,Congressional Hearings,CHRG-116shrg39711,CHRG-116shrg39711,https://www.govinfo.gov/app/details/CHRG-116shrg39711/CHRG-116shrg39711,https://www.govinfo.gov/content/pkg/CHRG-116shrg39711/pdf/CHRG-116shrg39711.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg39711/html/CHRG-116shrg39711.htm,,,," SECTION 401 OF THE CLEAN WATER ACT: STATE PERSPECTIVES HEARING before the COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS FIRST SESSION NOVEMBER 19, 2019 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http...",,2019-11-19
66,10/16/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=82E1CFDC-ECA0-4804-B5F4-F2D9A3BECB1D,Examining the Impacts of Diseases on Wildlife Conservation and Management,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw101619&auto_play=false,66.0,Congressional Hearings,CHRG-116shrg40418,CHRG-116shrg40418,https://www.govinfo.gov/app/details/CHRG-116shrg40418/CHRG-116shrg40418,https://www.govinfo.gov/content/pkg/CHRG-116shrg40418/pdf/CHRG-116shrg40418.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg40418/html/CHRG-116shrg40418.htm,,,," UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS FIRST SESSION OCTOBER 16, 2019 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 40-418 PDF WASHINGTON : 2020 COMMITTEE ON ENVIRONMENT ...",,2019-10-16
73,7/17/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=22DBE78B-11F0-491A-B8FB-7A9F3049F8EF,Electric Battery Production and Waste: Opportunities and Challenges,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw071719&auto_play=false,116.0,Congressional Hearings,CHRG-116shrg37496,CHRG-116shrg37496,https://www.govinfo.gov/app/details/CHRG-116shrg37496/CHRG-116shrg37496,https://www.govinfo.gov/content/pkg/CHRG-116shrg37496/pdf/CHRG-116shrg37496.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg37496/html/CHRG-116shrg37496.htm,,,," STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS FIRST SESSION JULY 17, 2019 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov ELECTRIC BATTERY PRODUCTION AND WASTE: OPPORTUNITIES AND CHALLENGES S. Hrg. 116-53 ELECTRIC BATTERY ...",,2019-07-17
76,6/12/19,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=08604F20-C3B3-4F98-BB3F-C3D417A9F726,A Review of Waters of the U.S. Regulations: Their Impact on States and the American People,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw061219&auto_play=false,153.0,Congressional Hearings,CHRG-116shrg37426,CHRG-116shrg37426,https://www.govinfo.gov/app/details/CHRG-116shrg37426/CHRG-116shrg37426,https://www.govinfo.gov/content/pkg/CHRG-116shrg37426/pdf/CHRG-116shrg37426.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg37426/html/CHRG-116shrg37426.htm,,,," AND PUBLIC WORKS AND THE SUBCOMMITTEE ON FISHERIES, WATER, AND WILDLIFE UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS FIRST SESSION JUNE 12, 2019 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT ...",,2019-06-12
